parameter,description,type,hex_address,address,resolution,alterability
Segment.51.TimeToTarget,Time To Target,time_t,0x21a2,8610,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.51.Duration,Dwell Duration,time_t,0x21a2,8610,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.51.CallProgram,Call Program,uint8,0x21a3,8611,Not applicable,RW
Segment.51.CallCycles,Call Cycles,int16,0x21a4,8612,Not applicable,RW
Segment.51.EventOutput,Event Output,uint8,0x21a4,8612,Not applicable,RW
Segment.51.HoldbackType,Holdback Type,uint8,0x21a5,8613,Not applicable,RW
Segment.51.HoldbackValue,Holdback Value,float32,0x21a6,8614,Same as Programmer.Run.PVInput,RW
Segment.52.SegmentType,Segment Type,uint8,0x21a8,8616,Not applicable,RW
Segment.52.TargetSetpoint,Target Setpoint,float32,0x21a9,8617,Same as Programmer.Run.PVInput,RW
Segment.52.RampRate,Ramp Rate,float32,0x21aa,8618,Same as Programmer.Setup.RateResolution,RW
Segment.52.TimeToTarget,Time To Target,time_t,0x21aa,8618,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.52.Duration,Dwell Duration,time_t,0x21aa,8618,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.52.CallProgram,Call Program,uint8,0x21ab,8619,Not applicable,RW
Segment.52.CallCycles,Call Cycles,int16,0x21ac,8620,Not applicable,RW
Segment.52.EventOutput,Event Output,uint8,0x21ac,8620,Not applicable,RW
Segment.52.HoldbackType,Holdback Type,uint8,0x21ad,8621,Not applicable,RW
Segment.52.HoldbackValue,Holdback Value,float32,0x21ae,8622,Same as Programmer.Run.PVInput,RW
Segment.53.SegmentType,Segment Type,uint8,0x21b0,8624,Not applicable,RW
Segment.53.TargetSetpoint,Target Setpoint,float32,0x21b1,8625,Same as Programmer.Run.PVInput,RW
Segment.53.RampRate,Ramp Rate,float32,0x21b2,8626,Same as Programmer.Setup.RateResolution,RW
Segment.53.TimeToTarget,Time To Target,time_t,0x21b2,8626,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.53.Duration,Dwell Duration,time_t,0x21b2,8626,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.53.CallProgram,Call Program,uint8,0x21b3,8627,Not applicable,RW
Segment.53.CallCycles,Call Cycles,int16,0x21b4,8628,Not applicable,RW
Segment.53.EventOutput,Event Output,uint8,0x21b4,8628,Not applicable,RW
Segment.53.HoldbackType,Holdback Type,uint8,0x21b5,8629,Not applicable,RW
Segment.53.HoldbackValue,Holdback Value,float32,0x21b6,8630,Same as Programmer.Run.PVInput,RW
Segment.54.SegmentType,Segment Type,uint8,0x21b8,8632,Not applicable,RW
Segment.54.TargetSetpoint,Target Setpoint,float32,0x21b9,8633,Same as Programmer.Run.PVInput,RW
Segment.54.RampRate,Ramp Rate,float32,0x21ba,8634,Same as Programmer.Setup.RateResolution,RW
Segment.54.TimeToTarget,Time To Target,time_t,0x21ba,8634,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.54.Duration,Dwell Duration,time_t,0x21ba,8634,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.54.CallProgram,Call Program,uint8,0x21bb,8635,Not applicable,RW
Segment.54.CallCycles,Call Cycles,int16,0x21bc,8636,Not applicable,RW
Segment.54.EventOutput,Event Output,uint8,0x21bc,8636,Not applicable,RW
Segment.54.HoldbackType,Holdback Type,uint8,0x21bd,8637,Not applicable,RW
Segment.54.HoldbackValue,Holdback Value,float32,0x21be,8638,Same as Programmer.Run.PVInput,RW
Segment.55.SegmentType,Segment Type,uint8,0x21c0,8640,Not applicable,RW
Segment.55.TargetSetpoint,Target Setpoint,float32,0x21c1,8641,Same as Programmer.Run.PVInput,RW
Segment.55.RampRate,Ramp Rate,float32,0x21c2,8642,Same as Programmer.Setup.RateResolution,RW
Segment.55.TimeToTarget,Time To Target,time_t,0x21c2,8642,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.55.Duration,Dwell Duration,time_t,0x21c2,8642,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.55.CallProgram,Call Program,uint8,0x21c3,8643,Not applicable,RW
Segment.55.CallCycles,Call Cycles,int16,0x21c4,8644,Not applicable,RW
Segment.55.EventOutput,Event Output,uint8,0x21c4,8644,Not applicable,RW
Segment.55.HoldbackType,Holdback Type,uint8,0x21c5,8645,Not applicable,RW
Segment.55.HoldbackValue,Holdback Value,float32,0x21c6,8646,Same as Programmer.Run.PVInput,RW
Segment.56.SegmentType,Segment Type,uint8,0x21c8,8648,Not applicable,RW
Segment.56.TargetSetpoint,Target Setpoint,float32,0x21c9,8649,Same as Programmer.Run.PVInput,RW
Segment.56.RampRate,Ramp Rate,float32,0x21ca,8650,Same as Programmer.Setup.RateResolution,RW
Segment.56.TimeToTarget,Time To Target,time_t,0x21ca,8650,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.56.Duration,Dwell Duration,time_t,0x21ca,8650,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.56.CallProgram,Call Program,uint8,0x21cb,8651,Not applicable,RW
Segment.56.CallCycles,Call Cycles,int16,0x21cc,8652,Not applicable,RW
Segment.56.EventOutput,Event Output,uint8,0x21cc,8652,Not applicable,RW
Segment.56.HoldbackType,Holdback Type,uint8,0x21cd,8653,Not applicable,RW
Segment.56.HoldbackValue,Holdback Value,float32,0x21ce,8654,Same as Programmer.Run.PVInput,RW
Segment.57.SegmentType,Segment Type,uint8,0x21d0,8656,Not applicable,RW
Segment.57.TargetSetpoint,Target Setpoint,float32,0x21d1,8657,Same as Programmer.Run.PVInput,RW
Segment.57.RampRate,Ramp Rate,float32,0x21d2,8658,Same as Programmer.Setup.RateResolution,RW
Segment.57.TimeToTarget,Time To Target,time_t,0x21d2,8658,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.57.Duration,Dwell Duration,time_t,0x21d2,8658,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.57.CallProgram,Call Program,uint8,0x21d3,8659,Not applicable,RW
Segment.57.CallCycles,Call Cycles,int16,0x21d4,8660,Not applicable,RW
Segment.57.EventOutput,Event Output,uint8,0x21d4,8660,Not applicable,RW
Segment.57.HoldbackType,Holdback Type,uint8,0x21d5,8661,Not applicable,RW
Segment.57.HoldbackValue,Holdback Value,float32,0x21d6,8662,Same as Programmer.Run.PVInput,RW
Segment.58.SegmentType,Segment Type,uint8,0x21d8,8664,Not applicable,RW
Segment.58.TargetSetpoint,Target Setpoint,float32,0x21d9,8665,Same as Programmer.Run.PVInput,RW
Segment.58.RampRate,Ramp Rate,float32,0x21da,8666,Same as Programmer.Setup.RateResolution,RW
Segment.58.TimeToTarget,Time To Target,time_t,0x21da,8666,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.58.Duration,Dwell Duration,time_t,0x21da,8666,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.58.CallProgram,Call Program,uint8,0x21db,8667,Not applicable,RW
Segment.58.CallCycles,Call Cycles,int16,0x21dc,8668,Not applicable,RW
Segment.58.EventOutput,Event Output,uint8,0x21dc,8668,Not applicable,RW
Segment.58.HoldbackType,Holdback Type,uint8,0x21dd,8669,Not applicable,RW
Segment.58.HoldbackValue,Holdback Value,float32,0x21de,8670,Same as Programmer.Run.PVInput,RW
Segment.59.SegmentType,Segment Type,uint8,0x21e0,8672,Not applicable,RW
Segment.59.TargetSetpoint,Target Setpoint,float32,0x21e1,8673,Same as Programmer.Run.PVInput,RW
Segment.59.RampRate,Ramp Rate,float32,0x21e2,8674,Same as Programmer.Setup.RateResolution,RW
Segment.59.TimeToTarget,Time To Target,time_t,0x21e2,8674,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.59.Duration,Dwell Duration,time_t,0x21e2,8674,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.59.CallProgram,Call Program,uint8,0x21e3,8675,Not applicable,RW
Segment.59.CallCycles,Call Cycles,int16,0x21e4,8676,Not applicable,RW
Segment.59.EventOutput,Event Output,uint8,0x21e4,8676,Not applicable,RW
Segment.59.HoldbackType,Holdback Type,uint8,0x21e5,8677,Not applicable,RW
Segment.59.HoldbackValue,Holdback Value,float32,0x21e6,8678,Same as Programmer.Run.PVInput,RW
Segment.60.SegmentType,Segment Type,uint8,0x21e8,8680,Not applicable,RW
Segment.60.TargetSetpoint,Target Setpoint,float32,0x21e9,8681,Same as Programmer.Run.PVInput,RW
Segment.60.RampRate,Ramp Rate,float32,0x21ea,8682,Same as Programmer.Setup.RateResolution,RW
Segment.60.TimeToTarget,Time To Target,time_t,0x21ea,8682,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.60.Duration,Dwell Duration,time_t,0x21ea,8682,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.60.CallProgram,Call Program,uint8,0x21eb,8683,Not applicable,RW
Segment.60.CallCycles,Call Cycles,int16,0x21ec,8684,Not applicable,RW
Segment.60.EventOutput,Event Output,uint8,0x21ec,8684,Not applicable,RW
Segment.60.HoldbackType,Holdback Type,uint8,0x21ed,8685,Not applicable,RW
Segment.60.HoldbackValue,Holdback Value,float32,0x21ee,8686,Same as Programmer.Run.PVInput,RW
Segment.61.SegmentType,Segment Type,uint8,0x21f0,8688,Not applicable,RW
Segment.61.TargetSetpoint,Target Setpoint,float32,0x21f1,8689,Same as Programmer.Run.PVInput,RW
Segment.61.RampRate,Ramp Rate,float32,0x21f2,8690,Same as Programmer.Setup.RateResolution,RW
Segment.61.TimeToTarget,Time To Target,time_t,0x21f2,8690,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.61.Duration,Dwell Duration,time_t,0x21f2,8690,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.61.CallProgram,Call Program,uint8,0x21f3,8691,Not applicable,RW
Segment.61.CallCycles,Call Cycles,int16,0x21f4,8692,Not applicable,RW
Segment.61.EventOutput,Event Output,uint8,0x21f4,8692,Not applicable,RW
Segment.61.HoldbackType,Holdback Type,uint8,0x21f5,8693,Not applicable,RW
Segment.61.HoldbackValue,Holdback Value,float32,0x21f6,8694,Same as Programmer.Run.PVInput,RW
Segment.62.SegmentType,Segment Type,uint8,0x21f8,8696,Not applicable,RW
Segment.62.TargetSetpoint,Target Setpoint,float32,0x21f9,8697,Same as Programmer.Run.PVInput,RW
Segment.62.RampRate,Ramp Rate,float32,0x21fa,8698,Same as Programmer.Setup.RateResolution,RW
Segment.62.TimeToTarget,Time To Target,time_t,0x21fa,8698,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.62.Duration,Dwell Duration,time_t,0x21fa,8698,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.62.CallProgram,Call Program,uint8,0x21fb,8699,Not applicable,RW
Segment.62.CallCycles,Call Cycles,int16,0x21fc,8700,Not applicable,RW
Segment.62.EventOutput,Event Output,uint8,0x21fc,8700,Not applicable,RW
Segment.62.HoldbackType,Holdback Type,uint8,0x21fd,8701,Not applicable,RW
Segment.62.HoldbackValue,Holdback Value,float32,0x21fe,8702,Same as Programmer.Run.PVInput,RW
Segment.63.SegmentType,Segment Type,uint8,0x2200,8704,Not applicable,RW
Segment.63.TargetSetpoint,Target Setpoint,float32,0x2201,8705,Same as Programmer.Run.PVInput,RW
Segment.63.RampRate,Ramp Rate,float32,0x2202,8706,Same as Programmer.Setup.RateResolution,RW
Segment.63.TimeToTarget,Time To Target,time_t,0x2202,8706,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.63.Duration,Dwell Duration,time_t,0x2202,8706,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.63.CallProgram,Call Program,uint8,0x2203,8707,Not applicable,RW
Segment.63.CallCycles,Call Cycles,int16,0x2204,8708,Not applicable,RW
Segment.63.EventOutput,Event Output,uint8,0x2204,8708,Not applicable,RW
Segment.63.HoldbackType,Holdback Type,uint8,0x2205,8709,Not applicable,RW
Segment.63.HoldbackValue,Holdback Value,float32,0x2206,8710,Same as Programmer.Run.PVInput,RW
Segment.64.SegmentType,Segment Type,uint8,0x2208,8712,Not applicable,RW
Segment.64.TargetSetpoint,Target Setpoint,float32,0x2209,8713,Same as Programmer.Run.PVInput,RW
Segment.64.RampRate,Ramp Rate,float32,0x220a,8714,Same as Programmer.Setup.RateResolution,RW
Segment.64.TimeToTarget,Time To Target,time_t,0x220a,8714,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.64.Duration,Dwell Duration,time_t,0x220a,8714,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.64.CallProgram,Call Program,uint8,0x220b,8715,Not applicable,RW
Segment.64.CallCycles,Call Cycles,int16,0x220c,8716,Not applicable,RW
Segment.64.EventOutput,Event Output,uint8,0x220c,8716,Not applicable,RW
Segment.64.HoldbackType,Holdback Type,uint8,0x220d,8717,Not applicable,RW
Segment.64.HoldbackValue,Holdback Value,float32,0x220e,8718,Same as Programmer.Run.PVInput,RW
Segment.65.SegmentType,Segment Type,uint8,0x2210,8720,Not applicable,RW
Segment.65.TargetSetpoint,Target Setpoint,float32,0x2211,8721,Same as Programmer.Run.PVInput,RW
Segment.65.RampRate,Ramp Rate,float32,0x2212,8722,Same as Programmer.Setup.RateResolution,RW
Segment.65.TimeToTarget,Time To Target,time_t,0x2212,8722,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.65.Duration,Dwell Duration,time_t,0x2212,8722,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.65.CallProgram,Call Program,uint8,0x2213,8723,Not applicable,RW
Segment.65.CallCycles,Call Cycles,int16,0x2214,8724,Not applicable,RW
Segment.65.EventOutput,Event Output,uint8,0x2214,8724,Not applicable,RW
Segment.65.HoldbackType,Holdback Type,uint8,0x2215,8725,Not applicable,RW
Segment.65.HoldbackValue,Holdback Value,float32,0x2216,8726,Same as Programmer.Run.PVInput,RW
Segment.66.SegmentType,Segment Type,uint8,0x2218,8728,Not applicable,RW
Segment.66.TargetSetpoint,Target Setpoint,float32,0x2219,8729,Same as Programmer.Run.PVInput,RW
Segment.66.RampRate,Ramp Rate,float32,0x221a,8730,Same as Programmer.Setup.RateResolution,RW
Segment.66.TimeToTarget,Time To Target,time_t,0x221a,8730,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.66.Duration,Dwell Duration,time_t,0x221a,8730,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.66.CallProgram,Call Program,uint8,0x221b,8731,Not applicable,RW
Segment.66.CallCycles,Call Cycles,int16,0x221c,8732,Not applicable,RW
Segment.66.EventOutput,Event Output,uint8,0x221c,8732,Not applicable,RW
Segment.66.HoldbackType,Holdback Type,uint8,0x221d,8733,Not applicable,RW
Segment.66.HoldbackValue,Holdback Value,float32,0x221e,8734,Same as Programmer.Run.PVInput,RW
Program.4.HoldbackType,Holdback Type,uint8,0x2220,8736,Not applicable,RW
Program.4.HoldbackValue,Holdback Value,float32,0x2221,8737,Same as Programmer.Run.PVInput,RW
Program.4.RampUnits,Ramp Units,uint8,0x2222,8738,Not applicable,RW
Program.4.DwellUnits,Dwell Units,uint8,0x2223,8739,Not applicable,RW
Program.4.ProgramCycles,Program Cycles,int16,0x2224,8740,Not applicable,RW
Program.4.HoldbackStyle,Holdback Style,uint8,0x2225,8741,Not applicable,RW
Program.4.ProgramEndType,Program End Type,uint8,0x2226,8742,Not applicable,RW
Program.4.NumConfSegments,Number of configured segments,uint8,0x2227,8743,Not applicable,RO
Segment.76.SegmentType,Segment Type,uint8,0x2228,8744,Not applicable,RW
Segment.76.TargetSetpoint,Target Setpoint,float32,0x2229,8745,Same as Programmer.Run.PVInput,RW
Segment.76.RampRate,Ramp Rate,float32,0x222a,8746,Same as Programmer.Setup.RateResolution,RW
Segment.76.TimeToTarget,Time To Target,time_t,0x222a,8746,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.76.Duration,Dwell Duration,time_t,0x222a,8746,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.76.CallProgram,Call Program,uint8,0x222b,8747,Not applicable,RW
Segment.76.CallCycles,Call Cycles,int16,0x222c,8748,Not applicable,RW
Segment.76.EventOutput,Event Output,uint8,0x222c,8748,Not applicable,RW
Segment.76.HoldbackType,Holdback Type,uint8,0x222d,8749,Not applicable,RW
Segment.76.HoldbackValue,Holdback Value,float32,0x222e,8750,Same as Programmer.Run.PVInput,RW
Segment.77.SegmentType,Segment Type,uint8,0x2230,8752,Not applicable,RW
Segment.77.TargetSetpoint,Target Setpoint,float32,0x2231,8753,Same as Programmer.Run.PVInput,RW
Segment.77.RampRate,Ramp Rate,float32,0x2232,8754,Same as Programmer.Setup.RateResolution,RW
Segment.77.TimeToTarget,Time To Target,time_t,0x2232,8754,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.77.Duration,Dwell Duration,time_t,0x2232,8754,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.77.CallProgram,Call Program,uint8,0x2233,8755,Not applicable,RW
Segment.77.CallCycles,Call Cycles,int16,0x2234,8756,Not applicable,RW
Segment.77.EventOutput,Event Output,uint8,0x2234,8756,Not applicable,RW
Segment.77.HoldbackType,Holdback Type,uint8,0x2235,8757,Not applicable,RW
Segment.77.HoldbackValue,Holdback Value,float32,0x2236,8758,Same as Programmer.Run.PVInput,RW
Segment.78.SegmentType,Segment Type,uint8,0x2238,8760,Not applicable,RW
Segment.78.TargetSetpoint,Target Setpoint,float32,0x2239,8761,Same as Programmer.Run.PVInput,RW
Segment.78.RampRate,Ramp Rate,float32,0x223a,8762,Same as Programmer.Setup.RateResolution,RW
Segment.78.TimeToTarget,Time To Target,time_t,0x223a,8762,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.78.Duration,Dwell Duration,time_t,0x223a,8762,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.78.CallProgram,Call Program,uint8,0x223b,8763,Not applicable,RW
Segment.78.CallCycles,Call Cycles,int16,0x223c,8764,Not applicable,RW
Segment.78.EventOutput,Event Output,uint8,0x223c,8764,Not applicable,RW
Segment.78.HoldbackType,Holdback Type,uint8,0x223d,8765,Not applicable,RW
Segment.78.HoldbackValue,Holdback Value,float32,0x223e,8766,Same as Programmer.Run.PVInput,RW
Segment.79.SegmentType,Segment Type,uint8,0x2240,8768,Not applicable,RW
Segment.79.TargetSetpoint,Target Setpoint,float32,0x2241,8769,Same as Programmer.Run.PVInput,RW
Segment.79.RampRate,Ramp Rate,float32,0x2242,8770,Same as Programmer.Setup.RateResolution,RW
Segment.79.TimeToTarget,Time To Target,time_t,0x2242,8770,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.79.Duration,Dwell Duration,time_t,0x2242,8770,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.79.CallProgram,Call Program,uint8,0x2243,8771,Not applicable,RW
Segment.79.CallCycles,Call Cycles,int16,0x2244,8772,Not applicable,RW
Segment.79.EventOutput,Event Output,uint8,0x2244,8772,Not applicable,RW
Segment.79.HoldbackType,Holdback Type,uint8,0x2245,8773,Not applicable,RW
Segment.79.HoldbackValue,Holdback Value,float32,0x2246,8774,Same as Programmer.Run.PVInput,RW
Segment.80.SegmentType,Segment Type,uint8,0x2248,8776,Not applicable,RW
Segment.80.TargetSetpoint,Target Setpoint,float32,0x2249,8777,Same as Programmer.Run.PVInput,RW
Segment.80.RampRate,Ramp Rate,float32,0x224a,8778,Same as Programmer.Setup.RateResolution,RW
Segment.80.TimeToTarget,Time To Target,time_t,0x224a,8778,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.80.Duration,Dwell Duration,time_t,0x224a,8778,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.80.CallProgram,Call Program,uint8,0x224b,8779,Not applicable,RW
Segment.80.CallCycles,Call Cycles,int16,0x224c,8780,Not applicable,RW
Segment.80.EventOutput,Event Output,uint8,0x224c,8780,Not applicable,RW
Segment.80.HoldbackType,Holdback Type,uint8,0x224d,8781,Not applicable,RW
Segment.80.HoldbackValue,Holdback Value,float32,0x224e,8782,Same as Programmer.Run.PVInput,RW
Segment.81.SegmentType,Segment Type,uint8,0x2250,8784,Not applicable,RW
Segment.81.TargetSetpoint,Target Setpoint,float32,0x2251,8785,Same as Programmer.Run.PVInput,RW
Segment.81.RampRate,Ramp Rate,float32,0x2252,8786,Same as Programmer.Setup.RateResolution,RW
Segment.81.TimeToTarget,Time To Target,time_t,0x2252,8786,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.81.Duration,Dwell Duration,time_t,0x2252,8786,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.81.CallProgram,Call Program,uint8,0x2253,8787,Not applicable,RW
Segment.81.CallCycles,Call Cycles,int16,0x2254,8788,Not applicable,RW
Segment.81.EventOutput,Event Output,uint8,0x2254,8788,Not applicable,RW
Segment.81.HoldbackType,Holdback Type,uint8,0x2255,8789,Not applicable,RW
Segment.81.HoldbackValue,Holdback Value,float32,0x2256,8790,Same as Programmer.Run.PVInput,RW
Segment.82.SegmentType,Segment Type,uint8,0x2258,8792,Not applicable,RW
Segment.82.TargetSetpoint,Target Setpoint,float32,0x2259,8793,Same as Programmer.Run.PVInput,RW
Segment.82.RampRate,Ramp Rate,float32,0x225a,8794,Same as Programmer.Setup.RateResolution,RW
Segment.82.TimeToTarget,Time To Target,time_t,0x225a,8794,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.82.Duration,Dwell Duration,time_t,0x225a,8794,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Segment.82.CallProgram,Call Program,uint8,0x225b,8795,Not applicable,RW
Segment.82.CallCycles,Call Cycles,int16,0x225c,8796,Not applicable,RW
Segment.82.EventOutput,Event Output,uint8,0x225c,8796,Not applicable,RW
Segment.82.HoldbackType,Holdback Type,uint8,0x225d,8797,Not applicable,RW
Segment.82.HoldbackValue,Holdback Value,float32,0x225e,8798,Same as Programmer.Run.PVInput,RW
Segment.83.SegmentType,Segment Type,uint8,0x2260,8800,Not applicable,RW
Segment.83.TargetSetpoint,Target Setpoint,float32,0x2261,8801,Same as Programmer.Run.PVInput,RW
